openDate,state,latitude,longitude,marker
6/1/1971 12:00,AR,33.92859488,-93.85130681,"33.92859488,-93.85130681"
8/18/1987 12:00,AR,33.68332765,-93.61351154,"33.68332765,-93.61351154"
1/1/2114 12:00,AR,36.36497879,-94.21578979,"36.36497879,-94.21578979"
2/13/2013 12:00,AR,35.24428009,-91.75081461,"35.24428009,-91.75081461"
9/10/1985 12:00,AR,35.56709937,-92.45210498,"35.56709937,-92.45210498"
8/1/1978 12:00,AR,35.81604003,-90.73358917,"35.81604003,-90.73358917"
2/1/1976 12:00,AR,34.39249031,-92.82905459,"34.39249031,-92.82905459"
3/1/1976 12:00,AR,34.72865699,-92.398003,"34.72865699,-92.398003"
4/1/1975 12:00,AR,35.32903671,-94.40706634,"35.32903671,-94.40706634"
7/1/1972 12:00,AR,34.491402,-93.089111,"34.491402,-93.089111"
4/15/1980 12:00,AR,34.11848992,-93.09498757,"34.11848992,-93.09498757"
3/1/1975 12:00,AR,34.66784299,-92.377144,"34.66784299,-92.377144"
8/1/1972 12:00,AR,35.81962966,-90.68540954,"35.81962966,-90.68540954"
8/6/2009 12:00,AR,34.46986007,-93.06985473,"34.46986007,-93.06985473"
8/2/2013 12:00,AR,35.06845928,-91.90652154,"35.06845928,-91.90652154"
12/1/1981 12:00,AR,34.45426199,-93.061829,"34.45426199,-93.061829"
2/12/1980 12:00,AR,34.04547683,-94.31813254,"34.04547683,-94.31813254"
10/16/1989 12:00,AR,35.34954071,-94.34811401,"35.34954071,-94.34811401"
11/1/1972 12:00,AR,35.92885293,-89.86984848,"35.92885293,-89.86984848"
5/1/1976 12:00,AR,33.68948364,-94.12967681,"33.68948364,-94.12967681"
2/2/1982 12:00,AR,34.90033507,-94.10582765,"34.90033507,-94.10582765"
10/1/1972 12:00,AR,35.14194108,-93.90225067,"35.14194108,-93.90225067"
6/1/1972 12:00,AR,36.1664009,-94.14631652,"36.1664009,-94.14631652"
10/1/1972 12:00,AR,36.07495419,-90.97226589,"36.07495419,-90.97226589"
5/1/1973 12:00,AR,35.27821004,-93.10502171,"35.27821004,-93.10502171"
8/31/1982 12:00,AR,35.41284179,-94.38407135,"35.41284179,-94.38407135"
3/17/2008 12:00,AR,36.33209991,-94.1548767,"36.33209991,-94.1548767"
12/31/1987 12:00,AR,34.786839,-92.21482799,"34.786839,-92.21482799"
11/18/1980 12:00,AR,33.82158815,-92.43577569,"33.82158815,-92.43577569"
6/25/2008 12:00,AR,34.851353,-92.405197,"34.851353,-92.405197"
10/26/2012 12:00,AR,34.74860763,-92.41007995,"34.74860763,-92.41007995"
8/4/1980 12:00,AR,34.29041549,-92.39895969,"34.29041549,-92.39895969"
10/30/1979 12:00,AR,33.69628906,-91.44138336,"33.69628906,-91.44138336"
10/1/1974 12:00,AR,36.368298,-94.224495,"36.368298,-94.224495"
7/1/1983 12:00,AR,33.24108637,-92.66582675,"33.24108637,-92.66582675"
6/24/1985 12:00,AR,34.80600357,-92.20765686,"34.80600357,-92.20765686"
9/1/1974 12:00,AR,34.47745895,-91.54889678,"34.47745895,-91.54889678"
10/7/1998 12:00,AR,36.35456099,-94.17099799,"36.35456099,-94.17099799"
10/14/1998 12:00,AR,34.835487,-92.23287999,"34.835487,-92.23287999"
10/30/1979 12:00,AR,35.50729215,-92.02941767,"35.50729215,-92.02941767"
11/11/1998 12:00,AR,36.17356099,-94.16273499,"36.17356099,-94.16273499"
11/3/1999 12:00,AR,36.08941699,-94.122803,"36.08941699,-94.122803"
6/1/1978 12:00,AR,35.5033265,-93.8453181,"35.5033265,-93.8453181"
11/11/1998 12:00,AR,35.365177,-94.37830399,"35.365177,-94.37830399"
8/25/2011 12:00,AR,36.36435851,-94.21730898,"36.36435851,-94.21730898"
9/10/2014 12:00,AR,36.17716513,-94.55911025,"36.17716513,-94.55911025"
11/16/1982 12:00,AR,33.46033886,-94.04121458,"33.46033886,-94.04121458"
7/4/1981 12:00,AR,34.55530643,-90.65295562,"34.55530643,-90.65295562"
6/16/2003 12:00,AR,36.34539328,-94.18678879,"36.34539328,-94.18678879"
3/7/2008 12:00,AR,34.82822589,-92.39221461,"34.82822589,-92.39221461"
3/19/2003 12:00,AR,35.22076651,-94.2965649,"35.22076651,-94.2965649"
8/28/1980 12:00,AR,35.20738296,-93.15401963,"35.20738296,-93.15401963"
3/14/2001 12:00,AR,34.62371399,-92.49445299,"34.62371399,-92.49445299"
9/2/2014 12:00,AR,36.33367919,-94.19759368,"36.33367919,-94.19759368"
6/9/2010 12:00,AR,36.36435851,-94.21730898,"36.36435851,-94.21730898"
3/1/1976 12:00,AR,35.76465614,-91.61433979,"35.76465614,-91.61433979"
6/30/1987 12:00,AR,34.74653625,-92.4100418,"34.74653625,-92.4100418"
3/19/2014 12:00,AR,36.35762348,-94.21387307,"36.35762348,-94.21387307"
9/1/1974 12:00,AR,35.02984888,-90.79144477,"35.02984888,-90.79144477"
1/21/2004 12:00,AR,34.17514219,-92.00642041,"34.17514219,-92.00642041"
6/3/2011 12:00,AR,36.25909589,-94.48516309,"36.25909589,-94.48516309"
8/31/2011 12:00,AR,36.414841,-94.45268199,"36.414841,-94.45268199"
6/18/2014 12:00,AR,36.35787695,-94.25365962,"36.35787695,-94.25365962"
6/3/2011 12:00,AR,35.97217194,-94.33113187,"35.97217194,-94.33113187"
11/1/1973 12:00,AR,36.37564457,-93.58250118,"36.37564457,-93.58250118"
8/13/2014 12:00,AR,35.28376288,-93.15304666,"35.28376288,-93.15304666"
7/16/2014 12:00,AR,36.44223578,-94.11944724,"36.44223578,-94.11944724"
9/1/1977 12:00,AR,34.80613119,-91.89277924,"34.80613119,-91.89277924"
4/1/1977 12:00,AR,33.13809022,-91.94144591,"33.13809022,-91.94144591"
6/2/1981 12:00,AR,35.48064239,-94.22902688,"35.48064239,-94.22902688"
9/1/1987 12:00,AR,36.10848999,-94.18231964,"36.10848999,-94.18231964"
11/17/1981 12:00,AR,36.122238,-94.15211499,"36.122238,-94.15211499"
5/9/2007 12:00,AR,36.36435851,-94.21730898,"36.36435851,-94.21730898"
10/31/1978 12:00,AR,35.68134299,-90.55046799,"35.68134299,-90.55046799"
